Title,Date,Type,Content
                            AIDS drugs show more promise for preventing new infections,"Jul 24, 2018",World News,"New research shows more promise for using AIDS treatment drugs as a prevention tool, to help keep uninfected people from catching HIV during s…"
                            HIVthe challenging reality,"May 17, 2013",Local News,As this country joins the world in observing Candlelight Memorial to remember those who have died from AIDS and to sensitise the public about …
                            Yes we can,"Dec 5, 2011",Local News,"Every pregnant woman or new mother has her moments: snatches of doubt, worry or frustration. HIV-positive women have quite a bit more on their minds. "
"                            Women, Girls & AIDS","Mar 24, 2011",Local News,"Last week, just a couple days before a regional meeting convened in Port of Spain to discuss universal access to HIV prevention, treatment, ca…"
                            Fuad: T&T closer to zero new AIDS cases,"Nov 19, 2012",Local News,HEALTH Minister Dr Fuad Khan says this country is closer to its goal of zero HIV/AIDS infections than ever before. 
                            Group: Govt not serious about AIDS,"May 26, 2014",Local News,PRIME Minister Kamla Persad-Bissessar and the Ministry of the People and Social Development have been accused of taking a lethargic approach t…
                            Still a long way to go,"Jan 14, 2012",Local News,"According to the 2011 report by UNAIDS, annual new HIV infections fell 21 per cent between 1997 and 2010. While this is some good news, now is…"
"                            Call for health, family life education in schools","Dec 1, 2008",Local News,A call has been made for the Ministry of Education to implement the Caricom-sanctioned Health and Family Life Education (HFLE) Programme in th…
                            What will the Caribbean say at AIDS2012,"Jul 11, 2012",Local News,"A new buzz-phrase emerged at the last global AIDS Conference in 2010: ""treatment as prevention"". Studies proved that if HIV positive people we…"
                            T&TEC donates to AIDS care,"Apr 24, 2013",Local News,"Nine non-governmental organisations involved in HIV/AIDS education got a $50,000 injection from the State-owned Trinidad and Tobago Electricit…"
                            The Caribbeannot so gay,"Feb 8, 2012",Local News,"IN Barbados, with a population of about 250,000 people, approximately 3,426 people are living with HIV, and the minister of health, Stephen La…"
                            Late actor inspires on AIDS Day,"Dec 6, 2009",Local News,"As the world united on World AIDS Day to take sombre recognition of the seemingly endless battle, increasingly alarming statistics and slow ga…"
                            Browne sounds Carnival AIDS warning,"Feb 13, 2009",Local News,"AFTER the glitz and glamour of the Carnival season has subsided, more people will be infected with HIV/AIDS, Social Development Minister, Amer…"
                            Manning welcomes summit to discuss economic crisis,"Oct 23, 2008",Local News,"Trinidad and Tobago welcomes the proposed international summit to deal with the present global economic crisis, Prime Minister Patrick Manning…"
                            UWI book to tell Tobago’s story,"Dec 6, 2016",Local News,THE University of the West Indies (UWI) is working on a new book that will tell the story of Tobago. 
"                            No money, little medicine at MRF","Jun 10, 2015",Local News,DIRECTOR of the Medical Research Foundation (MRF) Prof Courtenay Bartholomew has said that the HIV/AIDS programme in Trinidad and Tobago is in…
                            Rihanna,"Feb 6, 2014",Local News,"""HIV has been around for as long as I have been alive,"" Rihanna told Good Morning America host, Robin Roberts last week. The Barbadian superst…"
                            Online study of gay men on the way,"Dec 16, 2011",Local News,"An anonymous online study of the lives of men who have sex with men (MSM) in the English, French, Spanish and Dutch-speaking Caribbean is unde…"
                            Minister advises revellers to 'cover up',"Feb 14, 2011",Local News,"PUT a rubber on it if you want to engage in sexual activity this Carnival season, says Health Minister Therese Baptiste-Cornelis. "
"                            1,000 join walk against AIDS","Sep 24, 2009",Local News,"Tobago has seen a drop in the mortality rate in relation to people suffering from HIV/AIDS, and those infected are living longer lives. "
                            Heritage festival closes,"Aug 6, 2018",Features Local,"After several weeks of cultural events and activities taking place across the island, the 2018 edition of the Tobago Heritage Festival came to…"
                            Lawyer argues: Eight years awaiting trial enough jail time,"Jun 8, 2011",Local News,"A man convicted of killing his wife because she infected him with HIV, asked to be sent home yesterday because he was only being given antibio…"
                            AIDS is not over,"Oct 25, 2016",Local News,"Four years ago optimism was high that AIDS was in retreat, and could ultimately be eradicated. Back then the Joint United Nations Programme on…"
                            PS: Target youths in fight againt AIDS,"Nov 24, 2014",Local News,Permanent Secretary in the Ministry of the People and Social Development Juliana Johan-Boodram has said it was important to target young peopl…
                            UWI had no choice but to dismiss Prof Bain,"Jun 9, 2014",Local News,THE issue of UWIs termination of the short-term contract of Prof Brendan Bain is not at all about academic freedom. Those who say that it is a…
                            Working together to help create an AIDS-free generation,"Nov 29, 2013",Local News,"When I arrived in Trinidad and Tobago in August, one of my first meetings was with "
                            MRF records startling gunpoint/gang rape stats,"Jan 9, 2013",Local News,"MORE than 400 females were raped at gunpoint and/or gang raped over the past ten years in this country, a report from the Medical Research Fou…"
                            More women cheating,"May 20, 2012",Local News,"More women are cheating on their partners, a feature of changing gender roles in the Caribbean, according to a tri-nation study carried out in…"
                            AIDS committee 'in limbo' after Govt shutdown,"Apr 12, 2011",Local News,WHY was the National AIDS Coordinating Committee (NACC) not continued until it was changed to a statutory body or a mechanism for its continui…
                            Sekon to none,"Dec 8, 2018",Features Local,"May 1 this year made it 20 years since calypsonian, The Merchant (Dennis Franklin Williams) passed away, succumbing to the still dreaded disea…"
                            All blood is not equal,"Nov 30, 2018",Columnist,"Last year, the nation was rocked by news of three patients at the Port of Spain General Hospital having become infected with HIV-positive bloo…"
